subject,age,gender,ntrial,memory_ori,test_ori,cue,type,trial_type,which_change,pas,pas_rt,vis,test_key,test_acc,test,test_rt,contrast,fix_dur,cue_dur,jitter_dur,target_dur,mask_dur,retention_dur,trial_dur
12,28,male,1,15,15,right,same,valid,clock,2,1.4164137657635365,1,f,1,same,2.5562046197637756,0.5,0,0,0,0.387453164420549,0,0,7.040357339194088
12,28,male,2,15,15,left,same,valid,anti,3,2.945409968882359,1,f,1,same,1.275402829282939,0.4069419370673367,0,0,0,0.3874480326326193,0,0,7.243368928694508
12,28,male,3,45,135,left,same,catch,clock,1,0.6574772389185455,0,f,1,same,1.7540340660884794,0,0,0,0,0.38742205295875465,0,0,7.110325413060764
12,28,male,4,15,325,right,change,valid,anti,1,2.104160853313715,0,f,0,same,4.829839227511911,0.3461892688284379,0,0,0,0.3875224435519158,0,0,10.359745360703982
12,28,male,5,45,105,right,change,catch,clock,1,1.8492210267295377,0,f,0,same,1.4261785951857746,0,0,0,0,0.38748427588234335,0,0,7.873528059010823
12,28,male,6,15,325,left,change,valid,anti,1,4.584143995391514,0,j,1,change,3.880294962316384,0.4454881356006881,0,0,0,0.3873566226679941,0,0,11.353649117877467
12,28,male,7,165,165,left,same,valid,anti,3,2.8332717518833306,1,f,1,same,1.0503123654912088,0.5153337022544097,0,0,0,0.3873979977047384,0,0,7.010767131670491
12,28,male,8,135,85,right,change,valid,anti,2,0.7693973549485236,1,f,0,same,1.5004859161299464,0.4924441645522087,0,0,0,0.3873649618226409,0,0,5.5733066223792775
12,28,male,9,165,165,right,same,valid,anti,1,0.5132823490248484,0,j,0,change,3.869174699517771,0.4734385059312398,0,0,0,0.38745476810390755,0,0,7.498975246181544
12,28,male,10,45,45,left,same,valid,clock,3,3.6894530861604835,1,f,1,same,0.8970294006521726,0.5125887942849259,0,0,0,0.38734892498678164,0,0,7.60164820185355
12,28,male,11,135,135,right,same,valid,anti,2,3.3374265753463987,1,f,1,same,1.1651409220926325,0.498328181754836,0,0,0,0.38745220221017007,0,0,7.619225536288013
12,28,male,12,45,45,right,same,valid,clock,1,0.5213668387741563,0,f,1,same,2.7137270825596715,0.4863716772553254,0,0,0,0.38738580970948533,0,0,6.84480704799671
12,28,male,13,105,95,right,same,catch,clock,1,0.4093918767653122,0,f,1,same,1.0848820105829873,0,0,0,0,0.3874271847462296,0,0,6.064750649652069
12,28,male,14,135,135,right,same,valid,clock,1,0.3363517865996073,0,f,1,same,2.8778791733457183,0.5150318966985642,0,0,0,0.3874124308572391,0,0,6.773341775123754
12,28,male,15,75,25,right,change,valid,anti,1,0.5854484316291746,0,f,0,same,1.113620020642884,0.5421390576295121,0,0,0,0.38737522539759084,0,0,4.86569310242885
12,28,male,16,15,15,right,same,valid,anti,1,0.44944964786327546,0,f,1,same,1.1698801278585051,0.5668793012784583,0,0,0,0.3874557303142865,0,0,4.957218853417544
12,28,male,17,75,45,right,change,catch,anti,1,0.5610750068476591,0,f,0,same,1.7623639194280258,0,0,0,0,0.3873781120282729,0,0,6.923074825951971
12,28,male,18,15,65,right,change,valid,clock,1,0.49629966046813934,0,f,0,same,1.418181987297885,0.5917747121521939,0,0,0,0.3874509192637561,0,0,5.346662189182098
12,28,male,19,15,15,left,same,valid,clock,3,1.313420073371617,1,f,1,same,1.2682773423243816,0.6152924134636664,0,0,0,0.387401205072365,0,0,5.594447021029282
12,28,male,20,135,135,left,same,valid,clock,3,1.785471075641908,1,f,1,same,0.8773605420710737,0.6068195691206445,0,0,0,0.3873816401323893,0,0,6.048510787337818
12,28,male,21,105,105,left,same,valid,clock,2,4.2894254386555986,1,f,1,same,1.1687405502943875,0.5991387959156671,0,0,0,0.3873437931988519,0,0,8.298096555864959
12,28,male,22,105,155,right,change,valid,clock,2,1.3453834118818122,1,j,1,change,1.5922583136562025,0.5920868746263691,0,0,0,0.38738003644812125,0,0,5.637665331760218
12,28,male,23,165,215,right,change,valid,clock,3,4.497393693418417,1,j,1,change,1.3520287559713324,0.5854701521396714,0,0,0,0.3874230151691336,0,0,9.10875508608251
12,28,male,24,135,135,left,same,valid,anti,3,4.2974274990683625,1,f,1,same,1.0627627234653119,0.5795947790557504,0,0,0,0.3875243679722189,0,0,8.325409532680169
12,28,male,25,165,215,left,change,valid,clock,3,2.40940919654804,1,j,1,change,1.1404047440810245,0.5740034853904206,0,0,0,0.38744546673933655,0,0,6.265246701062097
12,28,male,26,45,355,left,change,valid,anti,3,1.2893763659376418,1,j,1,change,1.3113182856495769,0.5685709925443276,0,0,0,0.3874797855687575,0,0,5.432292478531963
12,28,male,27,105,105,right,same,valid,anti,3,0.7294409366541004,1,f,1,same,1.1664960347325177,0.5636729831008629,0,0,0,0.3874435423185787,0,0,5.12239184918235
12,28,male,28,135,355,right,change,catch,clock,2,2.273408488361383,1,f,0,same,1.4838185117687317,0,0,0,0,0.38743263727064914,0,0,8.404236996210784
12,28,male,29,45,45,left,same,valid,anti,3,1.3444561620253808,1,f,1,same,0.8033652979547696,0.5588349291535131,0,0,0,0.38736207519195887,0,0,5.458428030849973
12,28,male,30,45,45,right,same,valid,anti,3,2.0094209996595964,1,f,1,same,0.9308940664350303,0.554422794200992,0,0,0,0.38743969347797247,0,0,5.78112381014671
