subject,age,gender,ntrial,memory_ori,test_ori,cue,type,trial_type,which_change,pas,pas_rt,vis,test_key,test_acc,test,test_rt,contrast,fix_dur,cue_dur,jitter_dur,target_dur,mask_dur,retention_dur,trial_dur
14,23,female,1,45,355,left,change,valid,anti,1,1.6480916867876658,0,j,1,change,1.6288183583983482,0.5,0,0,0,0.3874730902753072,0,0,6.417224853680636
14,23,female,2,135,135,right,same,valid,anti,2,1.5773948051082698,1,f,1,same,1.4639194799465258,0.6571452603159259,0,0,0,0.38746314746913413,0,0,6.162014502385318
14,23,female,3,15,15,left,same,valid,clock,1,1.1693657644154882,0,j,0,change,1.8840530856059559,0.6071840821787083,0,0,0,0.3874615437907778,0,0,6.421820354657029
14,23,female,4,105,105,right,same,valid,anti,2,1.0254532636781732,1,f,1,same,0.8551756476936134,0.689912631090831,0,0,0,0.3874621852628479,0,0,5.169159852101984
14,23,female,5,105,55,left,change,valid,anti,1,0.6655041066997001,0,j,1,change,1.078162325615267,0.6620511691154406,0,0,0,0.387435884936167,0,0,4.64519865085731
14,23,female,6,45,45,left,same,valid,clock,1,0.6333538817998488,0,j,0,change,1.977550105329101,0.7151080272910296,0,0,0,0.3874567327557088,0,0,5.858655629937857
14,23,female,7,15,325,right,change,valid,anti,3,3.0494946488452115,1,j,1,change,1.097048205291685,0.7652319644794845,0,0,0,0.38739034046739107,0,0,6.958878477095823
14,23,female,8,75,25,left,change,catch,anti,2,2.0014798744768996,1,f,0,same,1.1888575138109445,0,0,0,0,0.3875330678501996,0,0,8.232338368456112
14,23,female,9,105,155,right,change,valid,clock,2,1.1759732403797898,1,j,1,change,1.1266893148822419,0.7480113467614596,0,0,0,0.3874779013112857,0,0,5.705899804735964
14,23,female,10,75,75,right,same,valid,anti,2,1.2254364571281258,1,f,1,same,0.9548028886738393,0.7336088112552341,0,0,0,0.3875022772226657,0,0,5.787550130989075
14,23,female,11,105,105,right,change,catch,clock,1,1.5374154219980483,0,j,1,change,1.6371648632766664,0,0,0,0,0.387445507006305,0,0,7.702747935103616
14,23,female,12,15,325,left,change,valid,anti,1,0.7679323324664438,0,j,1,change,1.8092167891027202,0.7208591485891638,0,0,0,0.3874641096763298,0,0,5.5786626732933655
14,23,female,13,165,165,left,same,valid,clock,2,1.5453869868542824,1,f,1,same,1.7101171583326504,0.7493465905524512,0,0,0,0.3874384508208095,0,0,6.263898439685363
14,23,female,14,105,105,left,same,valid,clock,2,1.3454567147946364,1,f,1,same,0.8174157555640704,0.7391861561505451,0,0,0,0.3874127919661987,0,0,5.55949262179638
14,23,female,15,45,45,left,same,valid,anti,1,1.1133906509394365,0,j,0,change,1.42436154353436,0.7301329589395591,0,0,0,0.38746282673400856,0,0,5.275705041195579
14,23,female,16,135,85,right,change,valid,anti,2,0.9774962217334178,1,j,1,change,1.1455469698175875,0.75204510951165,0,0,0,0.38745801569803007,0,0,5.62633041164554
