subject,age,gender,ntrial,memory_ori,test_ori,cue,type,trial_type,which_change,pas,pas_rt,vis,test_key,test_acc,test,test_rt,contrast,fix_dur,cue_dur,jitter_dur,target_dur,mask_dur,retention_dur,trial_dur
21,22,female,1,75,75,left,same,valid,clock,3,3.637363839243335,1,f,0,change,1.9885192291294516,0.5,0,0,0,0.38739126223299536,0,0,8.7693643190687
21,22,female,2,135,185,right,change,valid,clock,2,6.649357147394767,1,f,1,change,1.9720077028105152,0.4069419370673367,0,0,0,0.38748331367241917,0,0,12.000736090769351
21,22,female,3,165,215,right,change,valid,clock,3,3.0093520412629005,1,j,0,same,2.541629701758211,0.3461892688284379,0,0,0,0.387516991027951,0,0,8.545707227676758
21,22,female,4,15,65,left,change,valid,clock,3,2.337427216822107,1,f,1,change,1.177370292465639,0.2977447647674634,0,0,0,0.38749101135181263,0,0,6.612652037223597
21,22,female,5,15,15,right,same,valid,clock,4,2.337470837013825,1,j,1,same,0.8529184796316258,0.25592670972998877,0,0,0,0.38751282144949073,0,0,6.25301412331828
21,22,female,6,45,45,left,same,valid,anti,3,3.7134246278328646,1,j,1,same,1.6669421795086237,0.21928796852134014,0,0,0,0.3874945394563838,0,0,8.772398488432373
21,22,female,7,105,105,right,same,valid,clock,2,4.137432797637302,1,j,1,same,1.1956923775651376,0.18534516214727204,0,0,0,0.3874643902054231,0,0,8.44387524367994
21,22,female,8,75,75,right,same,valid,clock,1,2.0894460940980935,0,j,1,same,1.0859247256594244,0.15488367948209586,0,0,0,0.3874008843340562,0,0,6.042831181508518
21,22,female,9,135,85,left,change,valid,anti,2,2.681480533527065,1,j,0,same,0.8528421442897525,0.21622289014791712,0,0,0,0.3875234057632042,0,0,6.253104891809926
21,22,female,10,75,25,right,same,catch,clock,1,1.9213364329334581,0,f,0,change,1.450285808488843,0,0,0,0,0.3874432215852721,0,0,7.718429724336602
21,22,female,11,45,95,right,change,valid,clock,2,3.0080646040732972,1,f,1,change,1.90681475722522,0.19903413425693584,0,0,0,0.38753623523007263,0,0,8.079685754993989
21,22,female,12,105,105,left,same,valid,anti,2,4.8733064299376565,1,f,0,change,2.37689611530368,0.18334199388861483,0,0,0,0.38745861694405903,0,0,10.638229507650976
21,22,female,13,45,45,right,same,valid,anti,4,4.609398163203878,1,j,1,same,1.9198976080078864,0.16866914235008845,0,0,0,0.38739799770337413,0,0,9.49390792674967
21,22,female,14,165,165,right,same,valid,clock,3,4.169398060570529,1,f,0,change,1.7380241720020422,0.15556488189233014,0,0,0,0.38751025555757224,0,0,8.70383941097316
21,22,female,15,135,135,right,same,valid,anti,1,1.9610558267922897,0,f,0,change,2.606885511744622,0.14363918829009092,0,0,0,0.38747305009746924,0,0,7.461790955352626
21,22,female,16,15,15,left,same,valid,anti,4,2.721414820985956,1,f,0,change,1.4293686425990018,0.17209505767763317,0,0,0,0.387410506435117,0,0,7.099973956177564
21,22,female,17,15,325,left,change,valid,anti,4,2.5934261160546157,1,j,0,same,1.0937070814179606,0.16263129039692897,0,0,0,0.38739799770337413,0,0,6.712469473881356
21,22,female,18,135,135,left,same,valid,anti,4,1.7614809312399302,1,j,1,same,0.778348154577543,0.15377813134855517,0,0,0,0.3874441837906488,0,0,5.595381968567381
21,22,female,19,165,215,left,change,valid,clock,3,4.057350291324838,1,f,1,change,1.6017434606583265,0.14540687106091715,0,0,0,0.3874659938883269,0,0,8.577399864392646
21,22,female,20,45,95,left,change,valid,clock,2,2.441489924698544,1,j,0,same,1.0786151358224743,0.13793038451247552,0,0,0,0.38743648611125536,0,0,6.348281268139544
21,22,female,21,75,125,left,change,valid,clock,2,3.2973623895159108,1,f,1,change,1.7092386929107306,0.13073897040295368,0,0,0,0.3874675975712307,0,0,8.021073043939396
21,22,female,22,75,75,right,same,valid,anti,3,4.33706863316911,1,f,0,change,1.4066668975974608,0.12373377360899002,0,0,0,0.38746246578375576,0,0,8.87414964677373
21,22,female,23,105,155,right,change,valid,clock,3,1.9934656308141712,1,f,1,change,1.1055217392131453,0.11687724722308773,0,0,0,0.3875064067178755,0,0,5.876390954967064
21,22,female,24,45,45,left,same,valid,clock,1,3.145487779609539,0,f,0,change,1.1680621921332204,0.11059967236427076,0,0,0,0.3874464289510797,0,0,7.569031201910548
21,22,female,25,75,75,left,same,valid,anti,2,4.625267253872153,1,j,1,same,3.1814558367987047,0.12688241966783126,0,0,0,0.3874313543237804,0,0,11.322393645306875
21,22,female,26,165,165,right,same,valid,anti,4,4.081474824415636,1,j,1,same,1.4988286695006536,0.12157378692057313,0,0,0,0.3874833136687812,0,0,8.763768425524177
21,22,female,27,165,115,left,change,valid,anti,4,4.105415896097838,1,f,1,change,1.6080969343347533,0.11627071051703985,0,0,0,0.38752725460290094,0,0,8.674843528591737
21,22,female,28,105,105,right,same,valid,anti,4,2.7610678223463765,1,f,0,change,1.786894505203236,0.11137726957536809,0,0,0,0.38750608597911196,0,0,7.480089947406668
21,22,female,29,135,185,left,change,valid,clock,2,2.8014498582670058,1,f,1,change,1.4722947621776257,0.10643987668165705,0,0,0,0.3874643902054231,0,0,7.334609544737759
21,22,female,30,45,45,right,same,valid,clock,1,3.9213800531251763,0,f,0,change,3.113936908521282,0.10185713906781746,0,0,0,0.3874743330452475,0,0,10.09744494714323
21,22,female,31,135,115,left,change,catch,clock,2,3.4253113230952295,1,j,0,same,1.2187267265398987,0,0,0,0,0.38751185924047604,0,0,9.262077180803317
21,22,female,32,165,85,right,change,catch,clock,2,3.4240389605329256,1,j,0,same,2.4604095423019317,0,0,0,0,0.3874743330452475,0,0,10.33849751525122
21,22,female,33,75,125,right,change,valid,clock,1,1.4722524249264097,0,f,1,change,4.240495769161498,0.11395300071884579,0,0,0,0.38745925841794815,0,0,9.14185190815624
21,22,female,34,45,135,left,same,catch,clock,3,2.625415113496274,1,j,1,same,1.9162829051820154,0,0,0,0,0.38752789607679006,0,0,9.308858555748884
21,22,female,35,135,135,right,same,valid,clock,2,2.448310391035193,1,j,1,same,0.9418180383618164,0.12490988541222608,0,0,0,0.3875333485993906,0,0,6.693166255161486
21,22,female,36,15,325,right,change,valid,anti,2,2.4813947043803637,1,j,0,same,1.3122962119086878,0.12087159313440043,0,0,0,0.38749486019514734,0,0,7.087260594096733
21,22,female,37,105,55,right,change,valid,anti,1,2.97495719768267,0,f,1,change,2.9981371611356735,0.11703212550457048,0,0,0,0.3874913320905762,0,0,8.71546675852369
21,22,female,38,75,25,left,change,valid,anti,1,0.45731860253727064,0,f,1,change,2.8403215449761774,0.12718815696579455,0,0,0,0.38748427588143386,0,0,6.5526960807910655
21,22,female,39,165,115,right,change,valid,anti,2,2.649373184227443,1,j,0,same,2.3224427180248313,0.13683746239438277,0,0,0,0.38740569538640557,0,0,8.088382210400596
21,22,female,40,105,105,left,same,valid,clock,2,2.481488680237817,1,j,1,same,1.0498877100726531,0.13360194802273456,0,0,0,0.38743488242835156,0,0,6.494558380818489
21,22,female,41,15,15,right,same,valid,anti,1,6.033200420039066,0,j,1,same,0.9337181532500836,0.13028965287575806,0,0,0,0.3874983882960805,0,0,10.123516993593512
21,22,female,42,45,355,right,change,valid,anti,1,2.50541018698641,0,j,0,same,1.9417606264905771,0.13877283891920633,0,0,0,0.3875343108084053,0,0,7.870044858238543
21,22,female,43,165,165,left,same,valid,anti,2,2.1853896726606763,1,j,1,same,1.9739516880690644,0.14707913982110843,0,0,0,0.38744225936898147,0,0,7.06248400325785
21,22,female,44,105,55,left,change,valid,anti,2,1.8014793660440773,1,j,0,same,1.086990854513715,0.14423930794832218,0,0,0,0.38744707042496884,0,0,5.873630694761232
21,22,female,45,15,15,left,same,valid,clock,2,1.7613115822532563,1,f,0,change,2.988216774399916,0.1413325721179826,0,0,0,0.38740569538640557,0,0,8.238744546673843
21,22,female,46,135,75,left,change,catch,anti,2,0.8172990632556321,1,f,1,change,2.0346758089435752,0,0,0,0,0.38744771189522,0,0,7.23454898964701
21,22,female,47,75,25,right,change,valid,anti,1,0.7524788137343421,0,f,1,change,1.4303135329755605,0.13851490435965935,0,0,0,0.3874352031634771,0,0,5.808992302961997
21,22,female,48,135,135,left,same,valid,clock,2,2.69746925898653,1,j,1,same,0.7950822721759323,0.14593165473285125,0,0,0,0.3874522022124438,0,0,6.476804961923335
21,22,female,49,165,135,left,same,catch,clock,1,1.465505728036078,0,f,0,change,1.1354631534450164,0,0,0,0,0.3875176325018401,0,0,7.032185288320761
21,22,female,50,15,65,right,change,valid,clock,1,0.44819011476647574,0,f,1,change,1.239809392583993,0.14342455175862767,0,0,0,0.3874137138045626,0,0,4.580522877826297
21,22,female,51,45,355,left,change,valid,anti,2,2.6254154342350375,1,j,0,same,1.188590945857868,0.15017840264146604,0,0,0,0.38750287860966637,0,0,6.8002098901124555
21,22,female,52,135,165,left,same,catch,anti,3,2.545396113055176,1,j,1,same,0.9829752949335671,0,0,0,0,0.3874483533691091,0,0,8.124130242202227
21,22,female,53,45,135,right,same,catch,clock,1,1.712397949591832,0,f,0,change,3.161806222418818,0,0,0,0,0.3875718370072718,0,0,9.574681620695628
21,22,female,54,45,325,right,change,catch,clock,2,2.232159821825917,1,j,0,same,1.278648684885411,0,0,0,0,0.3875041615574446,0,0,8.170092134831066
21,22,female,55,165,165,left,same,valid,clock,3,3.8645618640184694,1,j,1,same,0.8145439348336367,0.14767477029850545,0,0,0,0.38746727683610516,0,0,8.016482339273352
21,22,female,56,45,165,right,same,catch,anti,1,0.9853994230579701,0,f,0,change,2.5393444526343956,0,0,0,0,0.3875516305961355,0,0,8.013994063807331
21,22,female,57,105,155,left,change,valid,clock,1,0.6885014603140007,0,f,1,change,1.2851009454680025,0.1453229287206933,0,0,0,0.3874012050728197,0,0,5.496703147262451
21,22,female,58,135,85,right,change,valid,anti,2,3.545347361072345,1,f,1,change,1.16844771767137,0.15202320994588614,0,0,0,0.38744803263398353,0,0,7.876077274457202
21,22,female,1,45,45,right,same,valid,anti,2,3.558733308058436,1,j,1,same,1.245007251858624,0.14965639666634073,0,0,0,0.3874239773795125,0,0,7.785064702216914
21,22,female,2,45,45,left,same,valid,clock,2,3.7374003390796133,1,j,1,same,2.392281534994254,0.14740524019309892,0,0,0,0.3874634279964084,0,0,9.38822774359869
21,22,female,3,135,135,right,same,valid,clock,1,2.1133178866512026,0,f,0,change,1.1637223035831994,0.14527810191163937,0,0,0,0.3875278960731521,0,0,6.108347108973248
21,22,female,4,45,95,right,change,valid,clock,3,4.025401385970326,1,j,0,same,0.8997588701349741,0.1513857419526955,0,0,0,0.3873752254003193,0,0,7.886695584289555
21,22,female,5,165,215,right,change,valid,clock,3,2.809240232443699,1,f,1,change,1.449294411289884,0.14922628164300777,0,0,0,0.38740922349097673,0,0,7.552604670821893
21,22,female,6,15,325,left,change,valid,anti,3,2.1294554339547176,1,f,1,change,1.153238061699085,0.14718183030547966,0,0,0,0.3875224435541895,0,0,6.2969993155456905
21,22,female,7,15,15,left,same,valid,anti,3,4.009293346443883,1,j,1,same,6.08761629111541,0.1452408098715975,0,0,0,0.38746406947029755,0,0,13.272732054621883
21,22,female,8,135,85,left,change,valid,anti,2,3.329442476191616,1,f,1,change,1.522648502705124,0.14336956223126418,0,0,0,0.3874887661950197,0,0,8.075949813686748
21,22,female,9,165,165,right,same,valid,anti,1,1.1535228759057645,0,j,1,same,1.037191347037151,0.141409904174211,0,0,0,0.3874919735644653,0,0,5.46480684272683
21,22,female,10,135,185,right,change,valid,clock,3,2.9693427014135523,1,f,1,change,1.2487345332738187,0.14648345150858855,0,0,0,0.3874977468221914,0,0,7.7965980739136285
21,22,female,11,105,55,left,change,valid,anti,2,5.265396485108795,1,f,1,change,2.509868106644717,0.1447070875744147,0,0,0,0.3873967147555959,0,0,11.018084739924234
21,22,female,12,135,135,right,same,valid,anti,2,3.393401868357614,1,j,1,same,2.3047877653079922,0.14286439006244644,0,0,0,0.38747272936234367,0,0,8.659588969476317
21,22,female,13,75,75,left,same,valid,anti,1,1.9454757199091546,0,j,1,same,1.0360501657887653,0.14104771602430827,0,0,0,0.38749902976996964,0,0,6.080811861615075
21,22,female,14,75,25,left,change,valid,anti,1,1.249573901270196,0,f,1,change,1.0428841030698095,0.14577513196330844,0,0,0,0.38751442513239454,0,0,5.531392427150422
21,22,female,15,75,75,left,same,valid,clock,1,4.145378087650897,0,j,1,same,0.8422414749802556,0.15068140738386737,0,0,0,0.3874631072576449,0,0,8.494940057513304
21,22,female,16,75,75,right,same,valid,anti,2,2.4574703110047267,1,j,1,same,1.2041460352775175,0.15529190797577275,0,0,0,0.3874935772473691,0,0,6.840311602139991
21,22,female,17,75,125,left,change,valid,clock,2,5.321401606634026,1,f,1,change,1.7213285428115341,0.15370739335147215,0,0,0,0.3874182041181484,0,0,10.157542027736781
21,22,female,18,45,45,left,same,valid,anti,2,4.625460978848423,1,f,0,change,2.0607295734007494,0.15204552465860327,0,0,0,0.38743648611125536,0,0,9.857160864215984
21,22,female,19,165,115,left,change,valid,anti,2,3.761394332326745,1,j,0,same,3.764879778256727,0.15039244735048674,0,0,0,0.38748427588507184,0,0,10.34878161742381
21,22,female,20,105,105,left,same,valid,clock,3,3.4254046574824315,1,j,1,same,0.8121955005772179,0.14876649572630402,0,0,0,0.38748427588143386,0,0,7.076618870480161
