subject,age,gender,ntrial,memory_ori,test_ori,cue,type,trial_type,which_change,pas,pas_rt,vis,test_key,test_acc,test,test_rt,contrast,fix_dur,cue_dur,jitter_dur,target_dur,mask_dur,retention_dur,trial_dur
17,23,female,1,75,75,left,same,valid,anti,2,1.360401975494824,1,j,1,same,2.7000518313861903,0.5,0,0,0,0.3873918228291586,0,0,7.104554426484356
17,23,female,2,105,105,right,same,valid,anti,1,1.5214654426417837,0,j,1,same,1.154498906601475,0.4069419370673367,0,0,0,0.3874999117970219,0,0,5.7063479335765805
17,23,female,3,105,165,left,change,catch,clock,1,1.7373672221647212,0,j,0,same,1.614466537644148,0,0,0,0,0.38738669100894185,0,0,8.389291879342636
17,23,female,4,75,25,left,change,valid,anti,2,1.3924277423648164,1,f,1,change,1.7097926680398814,0.5274438292530478,0,0,0,0.3874120293721717,0,0,6.305082554953515
17,23,female,5,105,155,left,change,valid,clock,2,1.1534180169237516,1,f,1,change,1.4666922402384444,0.4915951091070282,0,0,0,0.38736359781705687,0,0,5.784373735086774
17,23,female,6,15,15,right,same,valid,clock,1,2.337474284769087,0,j,1,same,1.23211993577479,0.4641700946387284,0,0,0,0.3874684793963752,0,0,7.091985956772987
17,23,female,7,105,135,right,same,catch,anti,2,1.7293189240363063,1,f,0,change,2.2938804324330704,0,0,0,0,0.3874200478412604,0,0,8.27946322441312
17,23,female,8,165,215,right,change,valid,clock,2,2.8721275436992073,1,f,1,change,1.4283543342398843,0.5165266758070325,0,0,0,0.3874408958618005,0,0,7.531210128161547
17,23,female,9,135,85,left,change,valid,anti,2,2.137493336652369,1,j,0,same,1.1424991067424344,0.49880005300621544,0,0,0,0.38738059697152494,0,0,6.490913791189996
17,23,female,10,45,45,right,same,valid,anti,2,2.8575198168455245,1,j,1,same,1.0196651358874078,0.48374446276561067,0,0,0,0.38739791686566605,0,0,6.863767166741127
17,23,female,11,45,45,left,same,valid,anti,2,1.001363460540233,1,j,1,same,0.898401502084198,0.47026765081156324,0,0,0,0.38745083876347053,0,0,4.990733215258842
17,23,female,12,135,325,right,change,catch,clock,1,0.86547574220549,0,j,0,same,0.40840277862480434,0,0,0,0,0.3874521217185247,0,0,5.971221392506777
17,23,female,13,45,355,right,same,catch,anti,1,0.9605565074371043,0,j,1,same,0.3098962025169385,0,0,0,0,0.387450518024707,0,0,6.127487569768164
17,23,female,14,135,185,right,change,valid,clock,1,1.8403141058988695,0,f,1,change,2.0451580953504163,0.45854978087431864,0,0,0,0.3875329478905769,0,0,7.177069294329158
17,23,female,15,105,55,right,change,valid,anti,2,2.4494435502965644,1,j,0,same,0.8197541088238722,0.48624973715283576,0,0,0,0.387533589368104,0,0,6.231518229829817
17,23,female,16,105,155,right,change,valid,clock,2,1.1614233360551225,1,f,1,change,1.3500555840300876,0.4770668033555835,0,0,0,0.38751081691498257,0,0,5.709084797559626
17,23,female,17,105,105,left,same,valid,anti,2,1.0094281163464984,1,f,0,change,1.537511682910008,0.4686590277153932,0,0,0,0.38744249955561827,0,0,5.846303261079811
17,23,female,18,15,95,right,same,catch,anti,2,2.1614348826515197,1,j,1,same,1.177863443541355,0,0,0,0,0.3874851578138987,0,0,8.263702762395042
17,23,female,19,135,135,left,same,valid,anti,2,1.0964804692530379,1,j,1,same,1.3097034385118604,0.4608507475104245,0,0,0,0.3874428202943818,0,0,5.956951724323517
17,23,female,20,135,85,right,change,valid,anti,2,0.937505332281944,1,f,1,change,1.0528327328038358,0.45348447553252097,0,0,0,0.3875011947520761,0,0,5.613326632031203
17,23,female,21,45,125,left,change,catch,anti,2,0.9053663446229621,1,f,1,change,2.615706513754958,0,0,0,0,0.3875037606621845,0,0,8.232579554442964
17,23,female,22,135,25,left,change,catch,anti,1,1.112356717970215,0,f,1,change,0.8930583147994184,0,0,0,0,0.38741844414744264,0,0,7.047925108779054
17,23,female,23,15,15,right,same,valid,anti,1,1.1843571208182766,0,j,1,same,0.6127047195432169,0.4464523909005257,0,0,0,0.38753070271923207,0,0,5.016972854594314
17,23,female,24,105,105,left,same,valid,clock,1,1.0495403492586775,0,j,1,same,0.38555944219660887,0.4640855380031905,0,0,0,0.38742774557158555,0,0,4.3998044134941665
17,23,female,25,75,125,right,change,valid,clock,2,0.8413023020702894,1,f,1,change,1.0636711375509549,0.47957655112213615,0,0,0,0.38740914272239024,0,0,5.06386005269087
