subject,age,gender,ntrial,memory_ori,test_ori,cue,type,trial_type,which_change,pas,pas_rt,vis,test_key,test_acc,test,test_rt,contrast,fix_dur,cue_dur,jitter_dur,target_dur,mask_dur,retention_dur,trial_dur
2,22,female,1,75,125,right,change,valid,clock,4,2.6403016583317367,1,j,1,change,2.5462013347732864,0.5,0.9968157360635814,0.5019571291850298,0.4003509489939461,0.03486236590106273,0.34859511352806294,0.9023148136257078,9.902732090760765
2,22,female,2,135,85,right,change,valid,anti,2,2.5773284128208616,1,f,0,same,1.9265143214888667,0.4069419370673367,0.6437120409318595,0.501972524498342,0.34458687960068346,0.03485146088678448,0.3485858121930505,0.902335340710124,8.808207754618707
2,22,female,3,105,105,left,same,valid,anti,2,2.473288810942904,1,j,0,change,6.235260912069862,0.3461892688284379,0.8166828745106613,0.5019786184748227,0.34455448529661226,0.034842801022023195,0.3486162820827303,0.9023032671429974,13.175939563132488
2,22,female,4,75,185,left,change,catch,clock,2,0.9694249080766895,1,f,0,same,2.9494526966173,0,0.7749134655114176,0.5019228104647482,0.49796268689351564,0.03479918097036716,0.3486233382682258,0.9023045500853186,10.008886623782018
2,22,female,5,45,95,right,change,valid,clock,3,2.256324266349111,1,f,0,same,1.6375936868953431,0.2977447647674634,1.168958430089333,0.5020764428627444,0.44908930307974515,0.03485530971556727,0.3485973586775799,0.9023231527553435,8.839580516205388
2,22,female,6,15,325,left,change,valid,anti,2,2.9932465892961773,1,j,1,change,2.138626135083541,0.25592670972998877,0.7508509117869835,0.5020103713104618,0.4002928958325356,0.03488032709901745,0.3485553423015517,0.902296852427753,9.587640386012936
2,22,female,7,45,45,right,same,valid,anti,2,3.881305022207016,1,j,0,change,5.572790965003151,0.21928796852134014,0.5942735208318481,0.5019670719902933,0.4491726943597314,0.03485081941471435,0.34856528510863427,0.9023141721554566,13.815552281201235
2,22,female,8,75,25,left,change,valid,anti,2,0.6574299064213847,1,f,0,same,1.8669039896958566,0.18534516214727204,1.0556777914898703,0.5019779770045716,0.4003528734065185,0.034836707043723436,0.34858549145610596,0.9023388688037812,7.295305519988688
2,22,female,9,75,125,left,change,valid,clock,2,0.9853366056922823,1,j,1,change,2.8927677950578072,0.15488367948209586,0.5444558911440254,0.5018663609844225,0.34468213810214365,0.03484504617335915,0.34854251287470106,0.902282098586511,8.07483597576902
2,22,female,10,105,155,left,change,valid,clock,2,0.7374438391798321,1,j,1,change,1.710291317813244,0.12473050325576701,0.6463173769461719,0.5019494315274642,0.4003839847682684,0.03485178162372904,0.3485604740726558,0.9023574714738061,6.811320815231738
2,22,female,11,15,65,left,change,valid,clock,2,5.313287887223851,1,f,0,same,4.418552057968554,0.09631031933527462,0.8329525131557602,0.501953280356247,0.4003717968134879,0.03486910134961363,0.348510760040881,0.9023045500853186,14.283622080985879
2,22,female,12,165,165,right,same,valid,clock,2,5.985355849834377,1,j,0,change,2.10552877768896,0.07085810833100747,0.8081650967724272,0.5020802916915272,0.40032079983757285,0.03486974282168376,0.3485534178871603,0.9023417554235493,12.61438140348946
2,22,female,13,165,165,left,same,valid,anti,2,4.617381885875147,1,f,1,same,1.4684200431584031,0.0459659317711002,0.7056335941124416,0.5020312191281846,0.2957872649967612,0.034842480286897626,0.34856528510863427,0.9023513774955063,10.399397722520007
2,22,female,14,45,45,left,same,valid,anti,2,0.7294437288474,1,f,1,same,1.4877026728827332,0.02302303833090036,0.5286375276155013,0.5019757318550546,0.400382060353877,0.034808803038686165,0.34860473559820093,0.9023478494036681,6.452652035133724
2,22,female,15,45,125,left,same,catch,clock,2,0.6254275406754459,1,f,1,same,1.545768983063681,0,0.796862050296113,0.50195103520673,0.2957606439340452,0.03487295017839642,0.3485364188964013,0.9023436798397597,8.075136505111004
2,22,female,16,15,15,left,same,valid,anti,1,3.840281965160102,0,j,0,change,1.9369687013277144,5.3127085395621165e-05,1.3088001534397335,0.5019882405467797,0.2957391546424333,0.03484664985080599,0.3486239797402959,0.9022782497595472,10.69584602377654
2,22,female,17,75,75,right,same,valid,clock,2,4.569376412840938,1,f,1,same,1.8680560722968949,0.04888850447319565,0.9549238060280913,0.5019908064314222,0.3445778990026156,0.03484087660945079,0.34856560584375984,0.9023860169509135,11.054331022325641
