subject,age,gender,ntrial,memory_ori,test_ori,cue,type,trial_type,which_change,pas,pas_rt,vis,test_key,test_acc,test,test_rt,contrast,fix_dur,cue_dur,jitter_dur,target_dur,mask_dur,retention_dur,trial_dur
20,21,female,1,45,355,left,change,valid,anti,1,1.6563071913660679,0,j,1,change,0.656772901083059,0.5,0,0,0,0.38752885828671424,0,0,5.377371447119003
20,21,female,2,135,85,right,change,valid,anti,1,1.4653832066105679,0,j,1,change,0.968344248003632,0.6571452603159259,0,0,0,0.38747689893716597,0,0,5.208639556715752
20,21,female,3,105,135,left,change,catch,clock,2,1.5772757392815038,1,f,0,same,1.086822788472091,0,0,0,0,0.38748363440936373,0,0,6.954122461128463
20,21,female,4,135,135,right,same,valid,clock,1,2.0403121153167376,0,j,0,change,1.6935854580542582,0.7719982136857017,0,0,0,0.3874255810624163,0,0,6.790165378267375
20,21,female,5,75,125,right,change,valid,clock,1,1.4894875332838637,0,j,1,change,1.0955256586166797,0.8640190595137247,0,0,0,0.3875153873441377,0,0,5.418786255276245
20,21,female,6,165,215,right,change,valid,clock,2,1.3051392927500274,1,f,0,same,0.8954638847244496,0.9431646450436015,0,0,0,0.387423977378603,0,0,5.644346598362972
20,21,female,7,105,155,right,change,valid,clock,1,2.385415844779345,0,j,1,change,0.8411554604463163,0.9132560203011124,0,0,0,0.3874509192637561,0,0,6.171918409710997
20,21,female,8,15,15,left,same,valid,clock,2,1.4494983998447424,1,f,1,same,0.7069563304130497,0.9675778865370614,0,0,0,0.38748203072555043,0,0,5.160859086888195
20,21,female,9,135,185,right,change,valid,clock,2,1.3054661234673404,1,j,1,change,0.8643264432676006,0.9478751000060446,0,0,0,0.3874791440948684,0,0,5.275859237634904
20,21,female,10,75,75,right,same,valid,anti,1,3.3293244450769635,0,j,0,change,1.032139422968612,0.9319071494344915,0,0,0,0.38749004914370744,0,0,7.378078030112192
20,21,female,11,45,95,left,change,valid,clock,2,1.5294429893692723,1,j,1,change,1.2953279565026605,0.966925139352107,0,0,0,0.3874255810624163,0,0,6.262018806717606
20,21,female,12,165,165,left,change,catch,clock,1,1.7453757783478068,0,f,0,same,0.8798013485047704,0,0,0,0,0.38739928065206186,0,0,7.515883844555901
20,21,female,13,75,75,left,same,valid,anti,2,1.5923417052026707,1,f,1,same,0.7269860178030285,0.9545092712668177,0,0,0,0.3875269338659564,0,0,5.836519531903832
20,21,female,14,15,325,right,change,valid,anti,1,1.82542332435969,0,j,1,change,1.1817858748827348,0.943196527753907,0,0,0,0.3875080103989603,0,0,5.7848937495473365
