subject,age,gender,ntrial,memory_ori,test_ori,cue,type,trial_type,which_change,pas,pas_rt,vis,test_key,test_acc,test,test_rt,contrast,fix_dur,cue_dur,jitter_dur,target_dur,mask_dur,retention_dur,trial_dur
24,23,female,1,15,15,right,same,valid,anti,1,3.3283396444030586,0,j,0,change,1.2838368183738567,0.5,0,0,0,0.3874870822455705,0,0,7.760894052925323
24,23,female,2,75,75,left,same,valid,anti,1,1.1455156549391177,0,j,0,change,1.0689017455251815,0.6571452603159259,0,0,0,0.3874790637764818,0,0,5.600996791970829
24,23,female,3,75,125,left,change,valid,clock,1,2.121453511159416,0,j,1,change,0.9121416305461025,0.7719982136857017,0,0,0,0.38739053987319494,0,0,6.655209022253075
24,23,female,4,105,155,left,change,valid,clock,1,1.673431475122925,0,j,1,change,0.6338981757016882,0.8640190595137247,0,0,0,0.38738989839566784,0,0,5.449182148193358
24,23,female,5,75,125,right,change,valid,clock,1,1.4733873414670597,0,j,1,change,3.006374041712661,0.9431646450436015,0,0,0,0.3874421788177642,0,0,7.5068849785848215
24,23,female,6,15,65,left,change,valid,clock,1,1.737362411083268,0,j,1,change,1.7434545234109464,1,0,0,0,0.3874123501109352,0,0,6.770878009572698
24,23,female,7,135,185,right,change,valid,clock,2,0.9532760579404567,1,f,0,same,2.491352882575484,1,0,0,0,0.38745500836830615,0,0,6.479313952585471
24,23,female,8,15,65,right,change,valid,clock,2,1.2813937511100448,1,f,0,same,1.401910063563264,1,0,0,0,0.38748098820906307,0,0,5.364048454648582
24,23,female,9,165,215,left,change,valid,clock,1,1.5214773099769445,0,j,1,change,0.924789964212323,1,0,0,0,0.3874088219845362,0,0,5.9726727354718605
24,23,female,10,45,355,left,change,valid,anti,2,1.249354513211074,1,f,0,same,1.7534750442782752,1,0,0,0,0.3874819504253537,0,0,5.923944496796139
24,23,female,11,15,325,left,change,valid,anti,1,1.273471824059925,0,j,1,change,1.2910229706694736,1,0,0,0,0.38742036858002393,0,0,5.9469873327425375
24,23,female,12,135,85,right,change,valid,anti,2,1.6734186455714735,1,j,1,change,1.515284806411728,1,0,0,0,0.3874319151755117,0,0,6.578035102935246
24,23,female,13,15,15,right,change,catch,clock,2,1.3533620800808421,1,f,0,same,1.5756003748792864,0,0,0,0,0.38743832995169214,0,0,7.733986956195622
