subject,age,gender,ntrial,memory_ori,test_ori,cue,type,trial_type,which_change,pas,pas_rt,vis,test_key,test_acc,test,test_rt,contrast,fix_dur,cue_dur,jitter_dur,target_dur,mask_dur,retention_dur,trial_dur
7,22,female,1,135,185,right,change,valid,clock,2,2.312141898601112,1,f,1,change,1.518431076466186,0.5,0,0,0,0.38745160098460474,0,0,6.881049716598682
7,22,female,2,165,215,left,change,valid,clock,2,2.8414205768622196,1,j,0,same,1.284534894760327,0.4069419370673367,0,0,0,0.38742947022092267,0,0,6.924228438221689
7,22,female,3,135,135,left,same,valid,clock,3,4.433292428841014,1,j,1,same,2.2244386483944254,0.3461892688284379,0,0,0,0.38743909229197016,0,0,9.756279363353315
7,22,female,4,165,85,right,change,catch,clock,2,2.129336346537457,1,f,1,change,2.2261937140938244,0,0,0,0,0.3873957929736207,0,0,8.809220958665719
7,22,female,5,75,25,right,change,valid,anti,2,2.8162341652796385,1,f,1,change,1.5104325698121102,0.2977447647674634,0,0,0,0.38749329662368837,0,0,7.437702544588319
7,22,female,6,45,25,left,change,catch,anti,2,2.193349737895005,1,j,0,same,1.9070921717393503,0,0,0,0,0.38742305550749734,0,0,8.85648938108261
7,22,female,7,15,15,right,same,valid,clock,2,1.8721537914807413,1,j,1,same,1.2379281500734578,0.25592670972998877,0,0,0,0.38741150902296795,0,0,6.588595216163412
7,22,female,8,75,125,right,change,valid,clock,3,3.5133300960415,1,f,1,change,1.217488947448146,0.21928796852134014,0,0,0,0.38741920667962404,0,0,7.828209473762399
7,22,female,9,105,105,left,same,valid,anti,3,3.433330596389169,1,f,0,change,1.367435769469921,0.18534516214727204,0,0,0,0.38751831400804804,0,0,8.027354584853128
7,22,female,10,75,125,right,change,catch,clock,2,2.2173699545064665,1,j,0,same,1.363368840912699,0,0,0,0,0.38745705349083437,0,0,8.591460668823856
7,22,female,11,15,15,left,same,valid,anti,2,4.600084289339065,1,j,1,same,3.844714532406215,0.15488367948209586,0,0,0,0.3873431923202588,0,0,12.02719966951372
7,22,female,12,75,75,right,same,valid,clock,2,1.5453975711325256,1,j,1,same,1.2968081667004299,0.12473050325576701,0,0,0,0.3874070187230245,0,0,5.813633319562541
7,22,female,13,75,25,left,change,valid,anti,2,1.2654200098013462,1,f,1,change,1.5545225015330288,0.09631031933527462,0,0,0,0.387452883926926,0,0,6.168779138837635
7,22,female,14,165,115,right,change,valid,anti,2,1.4734315383257126,1,j,0,same,2.5767677668336546,0.07085810833100747,0,0,0,0.387484316024711,0,0,7.262292836817323
7,22,female,15,15,45,right,change,catch,anti,2,2.425079991480743,1,j,0,same,1.13400754113718,0,0,0,0,0.3874054150446682,0,0,8.310518334535118
7,22,female,16,135,45,left,same,catch,clock,1,4.320132066128281,0,f,0,change,2.3992867479710185,0,0,0,0,0.38746378894029476,0,0,11.617763882081817
7,22,female,17,165,165,right,same,valid,clock,1,1.5282789451130157,0,j,1,same,3.7480047032686343,0.0459659317711002,0,0,0,0.3874689207113988,0,0,8.594613179927364
7,22,female,18,15,65,right,change,valid,clock,1,6.001283584234443,0,f,1,change,2.8503796869108555,0.09948074663405942,0,0,0,0.3874272250714057,0,0,11.990350666745144
